,date,Tesla,isPartial
0,2025-05-21 03:00:00,54,False
1,2025-05-21 04:00:00,51,False
2,2025-05-21 05:00:00,46,False
3,2025-05-21 06:00:00,43,False
4,2025-05-21 07:00:00,45,False
5,2025-05-21 08:00:00,49,False
6,2025-05-21 09:00:00,44,False
7,2025-05-21 10:00:00,47,False
8,2025-05-21 11:00:00,53,False
9,2025-05-21 12:00:00,52,False
10,2025-05-21 13:00:00,64,False
11,2025-05-21 14:00:00,68,False
12,2025-05-21 15:00:00,73,False
13,2025-05-21 16:00:00,70,False
14,2025-05-21 17:00:00,70,False
15,2025-05-21 18:00:00,73,False
16,2025-05-21 19:00:00,75,False
17,2025-05-21 20:00:00,81,False
18,2025-05-21 21:00:00,76,False
19,2025-05-21 22:00:00,77,False
20,2025-05-21 23:00:00,70,False
21,2025-05-22 00:00:00,61,False
22,2025-05-22 01:00:00,58,False
23,2025-05-22 02:00:00,56,False
24,2025-05-22 03:00:00,51,False
25,2025-05-22 04:00:00,50,False
26,2025-05-22 05:00:00,46,False
27,2025-05-22 06:00:00,43,False
28,2025-05-22 07:00:00,43,False
29,2025-05-22 08:00:00,44,False
30,2025-05-22 09:00:00,41,False
31,2025-05-22 10:00:00,46,False
32,2025-05-22 11:00:00,47,False
33,2025-05-22 12:00:00,76,False
34,2025-05-22 13:00:00,87,False
35,2025-05-22 14:00:00,80,False
36,2025-05-22 15:00:00,100,False
37,2025-05-22 16:00:00,78,False
38,2025-05-22 17:00:00,74,False
39,2025-05-22 18:00:00,72,False
40,2025-05-22 19:00:00,75,False
41,2025-05-22 20:00:00,78,False
42,2025-05-22 21:00:00,83,False
43,2025-05-22 22:00:00,74,False
44,2025-05-22 23:00:00,69,False
45,2025-05-23 00:00:00,63,False
46,2025-05-23 01:00:00,57,False
47,2025-05-23 02:00:00,56,False
48,2025-05-23 03:00:00,51,False
49,2025-05-23 04:00:00,50,False
50,2025-05-23 05:00:00,47,False
51,2025-05-23 06:00:00,45,False
52,2025-05-23 07:00:00,45,False
53,2025-05-23 08:00:00,47,False
54,2025-05-23 09:00:00,45,False
55,2025-05-23 10:00:00,48,False
56,2025-05-23 11:00:00,50,False
57,2025-05-23 12:00:00,58,False
58,2025-05-23 13:00:00,66,False
59,2025-05-23 14:00:00,70,False
60,2025-05-23 15:00:00,67,False
61,2025-05-23 16:00:00,68,False
62,2025-05-23 17:00:00,71,False
63,2025-05-23 18:00:00,72,False
64,2025-05-23 19:00:00,75,False
65,2025-05-23 20:00:00,72,False
66,2025-05-23 21:00:00,78,False
67,2025-05-23 22:00:00,74,False
68,2025-05-23 23:00:00,68,False
69,2025-05-24 00:00:00,66,False
70,2025-05-24 01:00:00,60,False
71,2025-05-24 02:00:00,56,False
72,2025-05-24 03:00:00,51,False
73,2025-05-24 04:00:00,51,False
74,2025-05-24 05:00:00,46,False
75,2025-05-24 06:00:00,42,False
76,2025-05-24 07:00:00,42,False
77,2025-05-24 08:00:00,42,False
78,2025-05-24 09:00:00,40,False
79,2025-05-24 10:00:00,45,False
80,2025-05-24 11:00:00,42,False
81,2025-05-24 12:00:00,47,False
82,2025-05-24 13:00:00,46,False
83,2025-05-24 14:00:00,46,False
84,2025-05-24 15:00:00,53,False
85,2025-05-24 16:00:00,51,False
86,2025-05-24 17:00:00,54,False
87,2025-05-24 18:00:00,57,False
88,2025-05-24 19:00:00,58,False
89,2025-05-24 20:00:00,65,False
90,2025-05-24 21:00:00,66,False
91,2025-05-24 22:00:00,66,False
92,2025-05-24 23:00:00,59,False
93,2025-05-25 00:00:00,59,False
94,2025-05-25 01:00:00,65,False
95,2025-05-25 02:00:00,52,False
96,2025-05-25 03:00:00,51,False
97,2025-05-25 04:00:00,48,False
98,2025-05-25 05:00:00,44,False
99,2025-05-25 06:00:00,40,False
100,2025-05-25 07:00:00,40,False
101,2025-05-25 08:00:00,44,False
102,2025-05-25 09:00:00,39,False
103,2025-05-25 10:00:00,40,False
104,2025-05-25 11:00:00,40,False
105,2025-05-25 12:00:00,42,False
106,2025-05-25 13:00:00,44,False
107,2025-05-25 14:00:00,60,False
108,2025-05-25 15:00:00,45,False
109,2025-05-25 16:00:00,48,False
110,2025-05-25 17:00:00,51,False
111,2025-05-25 18:00:00,55,False
112,2025-05-25 19:00:00,55,False
113,2025-05-25 20:00:00,60,False
114,2025-05-25 21:00:00,61,False
115,2025-05-25 22:00:00,59,False
116,2025-05-25 23:00:00,58,False
117,2025-05-26 00:00:00,53,False
118,2025-05-26 01:00:00,52,False
119,2025-05-26 02:00:00,46,False
120,2025-05-26 03:00:00,46,False
121,2025-05-26 04:00:00,45,False
122,2025-05-26 05:00:00,41,False
123,2025-05-26 06:00:00,40,False
124,2025-05-26 07:00:00,43,False
125,2025-05-26 08:00:00,43,False
126,2025-05-26 09:00:00,42,False
127,2025-05-26 10:00:00,44,False
128,2025-05-26 11:00:00,45,False
129,2025-05-26 12:00:00,44,False
130,2025-05-26 13:00:00,49,False
131,2025-05-26 14:00:00,51,False
132,2025-05-26 15:00:00,53,False
133,2025-05-26 16:00:00,53,False
134,2025-05-26 17:00:00,55,False
135,2025-05-26 18:00:00,58,False
136,2025-05-26 19:00:00,62,False
137,2025-05-26 20:00:00,64,False
138,2025-05-26 21:00:00,66,False
139,2025-05-26 22:00:00,69,False
140,2025-05-26 23:00:00,67,False
141,2025-05-27 00:00:00,69,False
142,2025-05-27 01:00:00,54,False
143,2025-05-27 02:00:00,50,False
144,2025-05-27 03:00:00,49,False
145,2025-05-27 04:00:00,47,False
146,2025-05-27 05:00:00,48,False
147,2025-05-27 06:00:00,51,False
148,2025-05-27 07:00:00,47,False
149,2025-05-27 08:00:00,50,False
150,2025-05-27 09:00:00,50,False
151,2025-05-27 10:00:00,53,False
152,2025-05-27 11:00:00,52,False
153,2025-05-27 12:00:00,61,False
154,2025-05-27 13:00:00,71,False
155,2025-05-27 14:00:00,73,False
156,2025-05-27 15:00:00,74,False
157,2025-05-27 16:00:00,82,False
158,2025-05-27 17:00:00,81,False
159,2025-05-27 18:00:00,82,False
160,2025-05-27 19:00:00,89,False
161,2025-05-27 20:00:00,98,False
162,2025-05-27 21:00:00,95,False
163,2025-05-27 22:00:00,92,False
164,2025-05-27 23:00:00,87,False
165,2025-05-28 00:00:00,86,False
166,2025-05-28 01:00:00,73,False
167,2025-05-28 02:00:00,60,False
168,2025-05-28 03:00:00,60,True
